Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Cases_per_1Mpop,Deaths_per_1Mpop,Total Tests,Tests_per_1Mpop,Continent,CountryCode,Avg_LockdownSeverity,Score,Quality_Life,GDP_2018,Obesity,Elder,Social support,Freedom,Corruption,Generosity,Health
Philippines,6710,111,446,9,693,5571,1,61,4,68532,625,Asia,PHL,53.30066629,5.631,37.0,3022.0,6.4,5.122568768,75.0,15.0,49.0,115.0,99.0
Poland,10169,313,426,25,1513,8230,160,269,11,238799,6310,Europe,POL,43.261703600000004,6.182,24.0,16639.7,23.1,17.51781676,44.0,52.0,108.0,77.0,36.0
Portugal,21982,603,785,23,1143,20054,207,2156,77,284741,27925,Europe,PRT,43.38121879,5.693,19.0,23737.7,20.8,21.95385754,47.0,37.0,135.0,122.0,22.0
Qatar,7141,608,10,1,689,6442,37,2479,3,70012,24301,Asia,QAT,55.23917588,6.374,32.0,63222.1,35.1,1.370070339,73.00884955752213,71.45132743362832,73.62616822429906,76.24778761061947,43.0
Romania,9710,468,524,26,2406,6780,288,505,27,106357,5529,Europe,ROU,41.32987125,6.07,38.0,11534.9,22.5,18.33870139,86.0,57.0,146.0,102.0,61.0
Russia,57999,5236,513,57,4420,53066,700,397,4,2250000,15418,Europe,RUS,37.82816899,5.648,36.0,11729.1,23.1,9.8300171986422,40.0,107.0,127.0,101.0,89.0
Rwanda,153,3,0,0,84,69,0,12,0,6959,537,Africa,RWA,47.29126397,3.3339999999999996,39.070422535211264,826.3,5.8,2.9381960780000003,144.0,21.0,2.0,90.0,103.0
Saudi Arabia,12772,1141,114,5,1812,10846,82,367,3,200000,5745,Asia,SAU,51.89474303,6.375,39.0,20912.0,35.4,3.314088023,62.0,68.0,73.62616822429906,82.0,74.0
Serbia,7114,224,134,4,1025,5955,101,814,15,48636,5566,Europe,SRB,43.46604636,5.603,71.0,6880.5,21.5,18.34579269,57.0,124.0,118.0,84.0,48.0
Sierra Leone,61,11,0,0,6,55,0,8,0,0,0,Africa,SLE,65.30571416,4.374,39.070422535211264,474.1,8.7,2.9665562110000003,135.0,116.0,112.0,79.0,146.0
Singapore,10141,1016,12,1,896,9233,27,1733,2,94796,16203,Asia,SGP,37.49441432,6.2620000000000005,18.0,58247.9,6.1,11.46338019,36.0,20.0,1.0,21.0,1.0
Slovenia,1353,9,79,2,205,1069,24,651,38,44435,21374,Europe,SVN,80.13902425,6.117999999999999,42.0,26758.9,20.2,19.60687965,14.0,13.0,97.0,54.0,29.0
South Africa,3635,170,65,7,1055,2515,36,61,1,133774,2256,Africa,ZAF,40.81547628,4.7219999999999995,66.0,7433.6,28.3,5.318005005,63.0,85.0,102.0,89.0,123.0
Spain,208389,4211,21717,435,85915,100757,7705,4457,464,930230,19896,Europe,ESP,55.37414555,6.354,21.0,33146.4,23.8,19.37850752,26.0,95.0,78.0,50.0,3.0
Sri Lanka,330,20,7,0,105,218,2,15,0,7393,345,Asia,LKA,52.25121619,4.3660000000000005,56.0,3936.5,5.2,10.47321975,80.0,55.0,111.0,35.0,54.0
Sweden,16004,682,1937,172,550,13517,515,1585,192,94500,9357,Europe,SWE,40.3450005,7.343,2.0,57232.1,20.6,20.09552493,25.0,10.0,6.0,17.0,17.0
